debug,en,ar,ar_sy
language_title,English 🇺🇸,🇸🇦 العربية,🇸🇾 عربي عامّي
language_select,Please select the language you wish,الرجاء اختيار اللغة التي ترغب بها,الرجاء اختيار اللغة التي ترغب بها
language_selected,The language has been set successfully ✅,تم اختيار اللغة بنجاح ✅,اخترت اللغة بنجاح ✅
core_cancel_no_active_command,No active command to cancel.,لا يوجد تعليمة فعالة ليتم الغاءها,مافي تعليمة شغالة حتى وقفها
basic_help,"I can help you clone stickers into your own collection packs.

Just send me the stickers and I'll take care of creating the stickers packs and reuploading the stickers.

Then you can manage the stickers packs using the @Stickers bot.","أستطيع مساعدتك على نسخ الستيكرات إلى مجموعاتك الخاصة.

فقط أرسل لي الستيكر وأنا سأتولى انشاء مجموعات الستيكرات واعادة رفع الستيكر.

ومن ثم تستطيع ادارة مجموعة الستيكرات باستخدام بوت @Stickers","أهليين, انا بوت بقدر ساعدك على نسخ ستيكرات واضافتهم لتشكيلتك الخاصة.

بعتلي بس الستيكر وانا باهتم بمساواة المجموعات ونسخ الستيكر.

واذا بدك تحذف أو تعيد ترتيب الستيكرات, بتقدر تستخدم البوت الأساسي @Stickers"
stickers_clone_failure_download,"Error while cloning the sticker, please wait a while and resend the sticker to retry.","حصل خطأ أثناء نسخ الستيكر, الرجاء الانتظار قليلا واعادة ارسال الستيكر للمحاولة مجدّداً ⚠","صار معي مشكلة وأنا عم أنسخ الستيكر ⚠
 ممكن تنتظر شوي وترجع تبعت الستيكر حتى حاول مرة تانية؟ 😅"
stickers_clone_failure_add,"Failed to add the sticker, please wait a while and re-send the sticker to try again","فشل في اضافة الستيكر, الرجاء الانتظار قليلا واعادة ارسال الستيكر للمحاولة مجدّداً ⚠","صار معي مشكلة وأنا عم ضيف الستيكر ⚠
 ممكن تنتظر شوي وترجع تبعت الستيكر حتى حاول مرة تانية؟ 😅"
stickers_clone_success,"Added into [%s](https://t.me/addstickers/%s) successfully ✅
The sticker will take a while to show in the pack.","تمت الاضافة إلى [%s](https://t.me/addstickers/%s) بنجاح ✅
التلغرم سيحتاج بعض الوقت ليظهر الستيكر في المجموعة","ضفتو على [%s](https://t.me/addstickers/%s) ✅
التلغرم بدو شوية وقت حتى يطلع الستيكر عندك"
stickers_clone_success_new,"Added into [%s](https://t.me/addstickers/%s) **(New)** successfully ✅
The sticker will take a while to show in the pack.","تمت الاضافة إلى [%s](https://t.me/addstickers/%s) **الجديدة** بنجاح ✅
التلغرم سيحتاج بعض الوقت ليظهر الستيكر في المجموعة","ضفتو على [%s](https://t.me/addstickers/%s) **(الجدييدة)** ✅
التلغرم بدو شوية وقت حتى يطلع الستيكر عندك"
stickers_clone_new_pack_name,%s's collection vol.%d,تشكيلة %s رقم %d,تشكيلة %s رقم %d
stickers_photo_conversion_failure,Failed to convert the photo into a sticker ⚠,فشل في تحويل الصورة إلى ستيكر ⚠,ما قدرت حول هي الصورة لستيكر ⚠
stickers_photo_too_large,"Sorry, but the converted photo turned out larget than the allowed size for a sticker (%d/512 kb) ⚠","أعتذر, لكن الصورة بعد التحويل أصبحت أكبر من الحجم المسموح لستيكر (%d/512 kb) ⚠","بعتذر, بس الصورة بعد التحويل طلع حجمها أكبر من الحد المسموح لستيكر (%d/512 kb) ⚠"
stickers_handler_invalid,"Please send the sticker you want to add into your collections
Send /help for help","الرجاء ارسال الستيكر الذي تريد اضافته لمجموعتك
أرسل /help من أجل المساعدة","بعات ستيكر حتى ضيفو عتشكيلتك
أو /help مشان أشرحلك شو فائدني بالحياة"
stickers_handler_queue_full,"Please wait until the previous stickers are processed, and then resend the sicker ⚠",الرجاء الانتظار حتى تتم معالجة الستيكرات السابقة و من ثم ارسال الستيكر مجددا ⚠,"انتظر شوي حتى أنسخ الستيكرات القبل
وبعدين بعتلي الستيكر من جديد حتى أنسخو ⚠"
stickers_list_success,"You have %d collections:
%s","لديك %d تشكيلات:
%s","عندك %d تشكيلات:
%s"
stickers_list_empty,"You don't have any collections ⚠
Send a sticker to create a one 😉","ليس لديك أي تشكيلات ⚠
ارسل أي ستيكر لانشاء تشكيلة 😉","ما عندك ولا تشكيلة ⚠
بعات أي ستيكر لستاوي واحد 😉"
